"Ingredient","Unit"
"Water","count"
"Water","oz"
"Water","cup"
"Water","tsp"
"Water","fill"
"Water","ml"
"Water","glass"
"Water","gal"
"Water","tblsp"
"Water","dash"
"Water","can"
"Wine","oz"
"Wine","bottle"
"Ricard","tsp"
"Pepper","inch"
"Sour mix","fill"
"Sour mix","oz"
"Sour mix","part"
"Sour mix","dash"
"Maraschino Liqueur","part"
"7-Up","fill"
"7-Up","oz"
"7-Up","part"
"7-Up","liter"
"Banana liqueur","count"
"Banana liqueur","oz"
"Allspice","piece"
"Apple brandy","oz"
"Black Sambuca","ml"
"Sloe gin","oz"
"Vermouth","oz"
"Cocoa powder","cup"
"Cocoa powder","tblsp"
"Cocoa powder","tsp"
"Rye whiskey","liter"
"Vanilla extract","tblsp"
"Vanilla extract","tsp"
"Vanilla extract","oz"
"Milk","oz"
"Milk","cup"
"Milk","fill"
"Milk","glass"
"Milk","liter"
"Milk","ml"
"Milk","part"
"Cherry Grenadine","oz"
"Raspberry vodka","oz"
"Sherry","oz"
"Aquavit","oz"
"Benedictine","tsp"
"Benedictine","oz"
"Berries","cup"
"Dark Creme de Cacao","oz"
"Melon liqueur","oz"
"Anis","oz"
"Anis","tsp"
"Cider","cup"
"Cider","ml"
"Egg white","count"
"Peppermint schnapps","fill"
"Midori melon liqueur","oz"
"Midori melon liqueur","fill"
"Midori melon liqueur","part"
"Marshmallows","fill"
"Soda water","oz"
"Soda water","fill"
"Soda water","part"
"Soda water","liter"
"Soda water","dash"
"Soda water","cup"
"Scotch","oz"
"Scotch","cup"
"Pineapple Juice","oz"
"Celery salt","dash"
"Crown Royal","oz"
"Crown Royal","part"
"Peach Bitters","dash"
"Grape juice","oz"
"Kirschwasser","oz"
"Chocolate syrup","fill"
"Chocolate syrup","oz"
"Chocolate syrup","tblsp"
"Carrot","count"
"Papaya","count"
"Grapefruit juice","oz"
"Grapefruit juice","fill"
"Vanilla","count"
"Creme de Banane","oz"
"Amaretto","oz"
"Amaretto","count"
"Amaretto","part"
"Amaretto","fill"
"Amaretto","dash"
"Egg White","count"
"Kummel","tsp"
"Beer","oz"
"Beer","bottle"
"Beer","fill"
"Soda Water","fill"
"Soda Water","dash"
"Salt","fill"
"Salt","tsp"
"Salt","inch"
"Salt","dash"
"Lime juice cordial","ml"
"Light rum","oz"
"Light rum","ml"
"Light rum","cup"
"Light rum","count"
"Sweet Vermouth","oz"
"Sweet Vermouth","tsp"
"Pineapple","cup"
"Pineapple","slice"
"Pineapple","piece"
"Pineapple","count"
"Pineapple","tblsp"
"Coconut milk","tblsp"
"Cherries","fill"
"Green Chartreuse","oz"
"Grapefruit Juice","part"
"Egg yolk","count"
"Pink lemonade","cup"
"Apfelkorn","oz"
"Apple juice","oz"
"Apple juice","cup"
"Apple juice","part"
"Chambord raspberry liqueur","oz"
"Worcestershire sauce","tsp"
"Espresso","tsp"
"Sambuca","oz"
"Sambuca","ml"
"Sambuca","fill"
"Sambuca","glass"
"Chocolate","oz"
"Chocolate","gr"
"Ice","count"
"Ice","fill"
"Ice","cup"
"Ice","glass"
"Strawberry liqueur","dash"
"Strawberry liqueur","tsp"
"Rum","part"
"Rum","oz"
"Rum","ml"
"Rum","tsp"
"Rum","glass"
"Rum","bottle"
"Rum","cup"
"Cream of coconut","dash"
"Cream of coconut","cup"
"Olive Brine","tblsp"
"Wormwood","count"
"Erin Cream","ml"
"Coconut syrup","drop"
"Yellow Chartreuse","oz"
"Nutmeg","tsp"
"Nutmeg","fill"
"Kahlua","part"
"Kahlua","fill"
"Kahlua","oz"
"Kahlua","count"
"Kahlua","tsp"
"Green Creme de Menthe","tsp"
"Green Creme de Menthe","oz"
"Ginger Beer","oz"
"Coffee brandy","oz"
"Port","oz"
"Port","tblsp"
"Port","part"
"Dark rum","oz"
"Dark rum","ml"
"Dark rum","part"
"Dubonnet Rouge","oz"
"Southern Comfort","oz"
"Southern Comfort","ml"
"Southern Comfort","part"
"Lemon","fill"
"Lemon","count"
"Lemon","slice"
"Lemon","lb"
"Everclear","ml"
"Everclear","count"
"Everclear","part"
"Advocaat","ml"
"Advocaat","oz"
"Fennel seeds","tsp"
"Egg Yolk","part"
"Almond flavoring","tblsp"
"Peppermint extract","oz"
"Cinnamon","inch"
"Cinnamon","stick"
"Cinnamon","dash"
"Cinnamon","tsp"
"Cinnamon","count"
"Cinnamon","fill"
"Absinthe","count"
"Passion fruit juice","oz"
"Dr. Pepper","oz"
"Lime peel","fill"
"Cloves","piece"
"Cloves","count"
"Cloves","tsp"
"Jim Beam","oz"
"Jim Beam","part"
"Mint","count"
"Mint","tsp"
"Mint","fill"
"Pineapple juice","oz"
"Pineapple juice","part"
"Pineapple juice","tblsp"
"Pineapple juice","cup"
"Pineapple juice","fill"
"Pineapple juice","dash"
"Blackcurrant squash","dash"
"Strawberry schnapps","oz"
"Apricot brandy","oz"
"Apricot brandy","liter"
"Tomato Juice","oz"
"Raspberry Liqueur","oz"
"Carbonated water","fill"
"Carbonated water","oz"
"Maraschino liqueur","tsp"
"Maraschino liqueur","oz"
"Spiced rum","oz"
"Cranberry juice","oz"
"Cranberry juice","glass"
"Cranberry juice","cup"
"Cranberry juice","dash"
"Cranberry juice","fill"
"Cranberry juice","part"
"Cranberry juice","gal"
"Coca-Cola","fill"
"Coca-Cola","can"
"Coca-Cola","part"
"Coca-Cola","ml"
"Coca-Cola","dash"
"Coca-Cola","oz"
"Coca-Cola","slice"
"Frangelico","part"
"Frangelico","count"
"Applejack","oz"
"Almond","tblsp"
"Wild Turkey","oz"
"Hot chocolate","fill"
"Brown sugar","cup"
"Brown sugar","tsp"
"Grain alcohol","cup"
"Grain alcohol","ml"
"Grain alcohol","part"
"Peach schnapps","oz"
"Peach schnapps","count"
"Peach schnapps","ml"
"Caramel coloring","fill"
"Tonic water","oz"
"Tonic water","fill"
"Tonic water","ml"
"Tomato juice","oz"
"Tomato juice","cup"
"orange juice","part"
"Prosecco","fill"
"Prosecco","oz"
"Agave syrup","tsp"
"Anise","ml"
"Anise","count"
"Goldschlager","oz"
"Goldschlager","dash"
"Root beer","count"
"Root beer","oz"
"Root beer","fill"
"Galliano","oz"
"Galliano","part"
"Yoghurt","cup"
"lemon","count"
"Lavender","count"
"Orange Juice","oz"
"Orange Juice","part"
"Irish cream","oz"
"Bourbon","oz"
"Bourbon","cup"
"Anisette","tsp"
"Anisette","oz"
"Fresh Lemon Juice","oz"
"Creme de Cacao","oz"
"Blended whiskey","oz"
"Iced tea","oz"
"Agave Syrup","ml"
"Absolut Citron","oz"
"Absolut Citron","part"
"Absolut Citron","count"
"Anejo rum","oz"
"Sprite","dash"
"Sprite","oz"
"Sprite","fill"
"Sprite","part"
"Sprite","liter"
"Angelica root","tblsp"
"Angelica root","tsp"
"Brandy","cup"
"Brandy","oz"
"Brandy","ml"
"Brandy","fill"
"Brandy","tsp"
"Brandy","part"
"Brandy","dash"
"Daiquiri mix","oz"
"Whisky","oz"
"Condensed milk","oz"
"Condensed milk","can"
"Condensed milk","tsp"
"Fruit juice","ml"
"Fruit juice","cup"
"Apple","count"
"Apple","cup"
"Kiwi","count"
"Ginger beer","oz"
"Cherry Heering","part"
"Orange juice","oz"
"Orange juice","fill"
"Orange juice","part"
"Orange juice","dash"
"Orange juice","gal"
"Orange juice","ml"
"Orange juice","count"
"Orange juice","liter"
"Orange juice","cup"
"Orange juice","tblsp"
"Peach nectar","oz"
"White Creme de Menthe","oz"
"Guinness stout","part"
"Guinness stout","count"
"Guinness stout","fill"
"maraschino liqueur","oz"
"Drambuie","oz"
"Passion fruit syrup","oz"
"Oreo cookie","count"
"Orange peel","fill"
"Orange peel","inch"
"Apricot","count"
"Zima","oz"
"Champagne","fill"
"Champagne","count"
"Champagne","oz"
"Champagne","part"
"Champagne","bottle"
"Lemon vodka","oz"
"Ginger","tsp"
"Ginger","inch"
"Ginger","piece"
"Orange","count"
"Orange","slice"
"Johnnie Walker","oz"
"Johnnie Walker","count"
"caramel sauce","tsp"
"Blue Curacao","fill"
"Blue Curacao","oz"
"Lemonade","can"
"Lemonade","oz"
"Lemonade","fill"
"Coffee liqueur","oz"
"St. Germain","oz"
"Whiskey","oz"
"demerara Sugar","tsp"
"Bitter lemon","slice"
"Bitter lemon","part"
"Cornstarch","tsp"
"Licorice root","tblsp"
"Sarsaparilla","glass"
"Mountain Dew","oz"
"Mountain Dew","liter"
"Mountain Dew","fill"
"Cranberry Juice","oz"
"Triple Sec","oz"
"Triple Sec","part"
"Ginger ale","oz"
"Ginger ale","fill"
"Ginger ale","bottle"
"Ginger ale","liter"
"chocolate sauce","tsp"
"Sweet and sour","dash"
"Sweet and sour","oz"
"Sweet and sour","fill"
"Glycerine","tsp"
"pineapple juice","oz"
"Guava juice","cup"
"Chocolate ice-cream","scoop"
"Chocolate ice-cream","oz"
"Coriander","tsp"
"Powdered sugar","tsp"
"Powdered sugar","tblsp"
"Powdered sugar","fill"
"151 proof rum","oz"
"151 proof rum","fill"
"151 proof rum","tsp"
"Vanilla ice-cream","cup"
"Vanilla ice-cream","scoop"
"Lime Juice","dash"
"Lime Juice","oz"
"Lime Juice","part"
"Fruit punch","part"
"Fruit punch","oz"
"Cantaloupe","count"
"Firewater","oz"
"Olive","count"
"Honey","fill"
"Honey","cup"
"Honey","tsp"
"Honey","tblsp"
"Strawberries","count"
"Strawberries","oz"
"Strawberries","cup"
"Peach Vodka","oz"
"Peach Vodka","part"
"Blackberry brandy","tsp"
"Blackberry brandy","oz"
"Grapes","cup"
"Coconut liqueur","oz"
"Grenadine","oz"
"Grenadine","tsp"
"Grenadine","tblsp"
"Grenadine","part"
"Grenadine","dash"
"Grenadine","fill"
"Grenadine","count"
"Limeade","oz"
"Vanilla Ice-Cream","cup"
"Vanilla Ice-Cream","scoop"
"Rumple Minze","oz"
"lemon juice","oz"
"Bacardi Limon","oz"
"Bacardi Limon","part"
"Triple sec","oz"
"Triple sec","tsp"
"Triple sec","part"
"Triple sec","dash"
"Triple sec","tblsp"
"Light cream","oz"
"Light cream","tblsp"
"Light cream","tsp"
"Light cream","fill"
"Angostura Bitters","dash"
"White rum","oz"
"Lime juice","count"
"Lime juice","tblsp"
"Lime juice","oz"
"Lime juice","dash"
"Marjoram leaves","tblsp"
"Yukon Jack","part"
"Cointreau","oz"
"Coffee","oz"
"Coffee","fill"
"Coffee","tblsp"
"Coffee","cup"
"Coffee","part"
"Coffee","count"
"Coffee","glass"
"Coffee","tsp"
"Tabasco sauce","dash"
"Tabasco sauce","drop"
"Tabasco sauce","oz"
"Sirup of roses","part"
"Corn syrup","cup"
"Absolut Peppar","oz"
"Apricot Brandy","part"
"Raspberry syrup","tsp"
"Peychaud bitters","dash"
"Cachaca","oz"
"Cachaca","ml"
"Orgeat syrup","oz"
"Orgeat syrup","part"
"Cardamom","gr"
"Tequila","oz"
"Tequila","part"
"Tequila","count"
"Tequila","tsp"
"Tequila","glass"
"Aperol","oz"
"Jack Daniels","oz"
"Jack Daniels","part"
"Butter","tsp"
"Dark Rum","oz"
"White Rum","oz"
"Cumin seed","tsp"
"Maui","oz"
"Whipping cream","cup"
"Whipping cream","fill"
"Orange Curacao","oz"
"Cognac","count"
"Cognac","oz"
"Cognac","dash"
"Peach brandy","oz"
"Tropicana","part"
"Cherry liqueur","oz"
"Mini-snickers bars","count"
"Grand Marnier","oz"
"Grand Marnier","dash"
"Grand Marnier","count"
"Grand Marnier","part"
"Ale","part"
"Pina colada mix","oz"
