"Ingredient","Unit1","Unit2","Unit3","Unit4","Unit5","Unit6","Unit7","Unit8","Unit9","Unit10","Unit11"
"tia maria","oz",,,,,,,,,,
"grand marnier","oz","dash","count","part",,,,,,,
"egg","count","piece","cup",,,,,,,,
"food coloring","drop","gr","tblsp",,,,,,,,
"olive brine","tblsp",,,,,,,,,,
"peachtree schnapps","oz",,,,,,,,,,
"pisang ambon","part",,,,,,,,,,
"pina colada mix","oz",,,,,,,,,,
"blackberry brandy","tsp","oz",,,,,,,,,
"tea","oz","liter","fill","cup",,,,,,,
"amaretto","oz","count","part","fill","dash",,,,,,
"cherry brandy","fill","tsp","oz","part",,,,,,,
"blue curacao","fill","oz",,,,,,,,,
"jim beam","oz","part",,,,,,,,,
"beer","oz","fill","bottle","part","count","liter","ml",,,,
"everclear","cup","ml","count","part",,,,,,,
"kirschwasser","oz",,,,,,,,,,
"aperol","oz",,,,,,,,,,
"coconut liqueur","oz",,,,,,,,,,
"milk","oz","cup","fill","glass","liter","ml","part","can","tblsp","tsp",
"almond","tblsp",,,,,,,,,,
"melon liqueur","oz","fill","part",,,,,,,,
"cranberry juice","oz","glass","cup","dash","fill","part","gal",,,,
"apple juice","oz","cup","part",,,,,,,,
"tequila","oz","part","count","tsp","glass",,,,,,
"lemon peel","fill","count","slice","tblsp","inch",,,,,,
"st. germain","oz",,,,,,,,,,
"apple schnapps","part",,,,,,,,,,
"apfelkorn","oz",,,,,,,,,,
"strawberry schnapps","oz",,,,,,,,,,
"anis","ml","count","oz","tsp",,,,,,,
"wine","oz","count","bottle","liter","tblsp","ml","fill","part",,,
"lime juice","count","tblsp","oz","ml","dash","part",,,,,
"allspice","piece",,,,,,,,,,
"cocoa powder","cup","tblsp","tsp",,,,,,,,
"creme de banane","oz",,,,,,,,,,
"sour mix","fill","oz","part","dash",,,,,,,
"triple sec","oz","tsp","part","dash","tblsp",,,,,,
"cider","cup","liter","oz","ml",,,,,,,
"peach brandy","oz",,,,,,,,,,
"mint","count","tsp","fill",,,,,,,,
"lime peel","fill",,,,,,,,,,
"vermouth","oz","tsp","tblsp","fill",,,,,,,
"sprite","dash","oz","fill","part","liter",,,,,,
"grapefruit juice","oz","part","fill",,,,,,,,
"jack daniels","oz","part",,,,,,,,,
"espresso","tsp",,,,,,,,,,
"salt","fill","tsp","inch","dash",,,,,,,
"creme de cacao","oz",,,,,,,,,,
"angelica root","tblsp","tsp",,,,,,,,,
